Image,IoU,PA
000411_leftImg8bit_0.png,0.53237369,0.666890462
000434_leftImg8bit_0.png,0.989664714,0.989664714
000490_leftImg8bit_0.png,0.981825778,0.982299805
000590_leftImg8bit_0.png,0.878810058,0.895568848
000616_leftImg8bit_0.png,0.516342404,0.543294271
000658_leftImg8bit_0.png,0.975097656,0.975097656
000733_leftImg8bit_0.png,0.880999203,0.908894857
000746_leftImg8bit_0.png,0.965381457,0.966552734
000852_leftImg8bit_0.png,0.600675139,0.672688802
000899_leftImg8bit_0.png,0.585652669,0.585652669
000948_leftImg8bit_0.png,0.88670215,0.89259847
000986_leftImg8bit_0.png,0.81011236,0.862467448
001073_leftImg8bit_0.png,0.839920687,0.901448568
001142_leftImg8bit_0.png,0.725440387,0.764709473
001246_leftImg8bit_0.png,0.551316303,0.695902507
001339_leftImg8bit_0.png,0.933985928,0.934143066
001696_leftImg8bit_0.png,0.549788485,0.694702148
001905_leftImg8bit_0.png,0.752075195,0.752075195
002005_leftImg8bit_0.png,0.999369303,0.999369303
002071_leftImg8bit_0.png,0.822363961,0.856079102
002101_leftImg8bit_0.png,0.721551004,0.769307454
002161_leftImg8bit_0.png,0.894432393,0.907918294
002301_leftImg8bit_0.png,0.643831554,0.706787109
002537_leftImg8bit_0.png,0.913661902,0.92590332
002629_leftImg8bit_0.png,0.896705814,0.90641276
002784_leftImg8bit_0.png,0.911801295,0.914896647
002836_leftImg8bit_0.png,0.948651353,0.950927734
002935_leftImg8bit_0.png,0.907163946,0.925150553
003000_leftImg8bit_0.png,0.87629396,0.892293294
003050_leftImg8bit_0.png,0.887677124,0.911783854
003138_leftImg8bit_0.png,0.939848152,0.943745931
003214_leftImg8bit_0.png,0.935087571,0.953023275
003949_leftImg8bit_0.png,0.789164856,0.861836751
003983_leftImg8bit_0.png,0.840450311,0.899658203
004038_leftImg8bit_0.png,0.922812007,0.929321289
004039_leftImg8bit_0.png,0.878301488,0.900349935
004049_leftImg8bit_0.png,0.868421053,0.869791667
004103_leftImg8bit_0.png,0.802642507,0.840454102
004174_leftImg8bit_0.png,0.887171303,0.903625488
004192_leftImg8bit_0.png,0.83615006,0.856404622
004376_leftImg8bit_0.png,0.921301513,0.953104655
004445_leftImg8bit_0.png,0.860799154,0.860799154
004460_leftImg8bit_0.png,0.544768499,0.628133138
004606_leftImg8bit_0.png,0.938617969,0.963277181
004742_leftImg8bit_0.png,0.685642946,0.846313477
004906_leftImg8bit_0.png,0.697498737,0.756408691
005159_leftImg8bit_0.png,0.887369792,0.890889486
005201_leftImg8bit_0.png,0.815696279,0.875061035
005280_leftImg8bit_0.png,0.895509978,0.938639323
005329_leftImg8bit_0.png,0.935558662,0.961547852
005379_leftImg8bit_0.png,0.966915028,0.967386882
005490_leftImg8bit_0.png,0.919262489,0.93745931
005520_leftImg8bit_0.png,0.940493813,0.959106445
005579_leftImg8bit_0.png,0.792939023,0.825073242
005640_leftImg8bit_0.png,0.63382206,0.6346639
005740_leftImg8bit_0.png,0.707198469,0.76969401
005755_leftImg8bit_0.png,0.774303008,0.799723307
005850_leftImg8bit_0.png,0.730925557,0.799316406
005947_leftImg8bit_0.png,0.981668345,0.981852214
006030_leftImg8bit_0.png,0.854355299,0.877604167
006128_leftImg8bit_0.png,0.899462557,0.907897949
006341_leftImg8bit_0.png,0.959040327,0.959187826
006435_leftImg8bit_0.png,0.791331211,0.818603516
006479_leftImg8bit_0.png,0.78916471,0.820983887
006523_leftImg8bit_0.png,0.869143404,0.897094727
006654_leftImg8bit_0.png,0.811065172,0.858683268
007028_leftImg8bit_0.png,0.699711534,0.762797038
007118_leftImg8bit_0.png,0.81282104,0.85172526
007271_leftImg8bit_0.png,0.803932549,0.871785482
007744_leftImg8bit_0.png,0.807337713,0.855021159
007904_leftImg8bit_0.png,0.620218913,0.620218913
007906_leftImg8bit_0.png,0.535508156,0.661071777
007943_leftImg8bit_0.png,0.999471029,0.999471029
008602_leftImg8bit_0.png,0.985393258,0.985453288
008776_leftImg8bit_0.png,0.770532387,0.828389486
008782_leftImg8bit_0.png,0.973798524,0.976806641
009073_leftImg8bit_0.png,0.763833946,0.793518066
009300_leftImg8bit_0.png,0.819915445,0.918538411
009352_leftImg8bit_0.png,0.918595252,0.922139486
009354_leftImg8bit_0.png,0.860868576,0.900472005
009376_leftImg8bit_0.png,0.760114461,0.827738444
009637_leftImg8bit_0.png,0.921068391,0.946370443
009669_leftImg8bit_0.png,0.742963576,0.785217285
009696_leftImg8bit_0.png,0.718249035,0.824788411
009783_leftImg8bit_0.png,0.641022951,0.651875814
009866_leftImg8bit_0.png,0.956745097,0.968994141
009954_leftImg8bit_0.png,0.972159091,0.974080404
010216_leftImg8bit_0.png,0.631388346,0.631388346
010335_leftImg8bit_0.png,0.569509242,0.703389486
010566_leftImg8bit_0.png,0.862976384,0.885375977
010660_leftImg8bit_0.png,0.973159854,0.973307292
010832_leftImg8bit_0.png,0.91754671,0.942179362
011776_leftImg8bit_0.png,0.881078611,0.920593262
012019_leftImg8bit_0.png,0.517590129,0.572041829
012255_leftImg8bit_0.png,0.927918294,0.932800293
012556_leftImg8bit_0.png,0.920839174,0.929911296
012953_leftImg8bit_0.png,0.95028569,0.951497396
013017_leftImg8bit_0.png,0.95223163,0.953511556
013656_leftImg8bit_0.png,0.679463003,0.709513346
013888_leftImg8bit_0.png,0.702207149,0.77134196
013948_leftImg8bit_0.png,0.669026693,0.669026693
014112_leftImg8bit_0.png,0.937567635,0.938964844
014345_leftImg8bit_0.png,0.946211323,0.954305013
014358_leftImg8bit_0.png,0.792167397,0.820556641
014457_leftImg8bit_0.png,1,1
014495_leftImg8bit_0.png,0.971106104,0.971822103
014519_leftImg8bit_0.png,0.962867728,0.972676595
014534_leftImg8bit_0.png,0.98810055,0.990234375
014647_leftImg8bit_0.png,0.942224225,0.950439453
014659_leftImg8bit_0.png,0.741849694,0.824239095
014776_leftImg8bit_0.png,0.918475073,0.943440755
014810_leftImg8bit_0.png,0.806139792,0.85148112
014863_leftImg8bit_0.png,0.901093956,0.941874186
014953_leftImg8bit_0.png,0.888009001,0.89469401
015110_leftImg8bit_0.png,0.851959988,0.881368001
015247_leftImg8bit_0.png,0.994130953,0.994140625
015265_leftImg8bit_0.png,0.450500488,0.450500488
015281_leftImg8bit_0.png,0.504732133,0.648661296
015287_leftImg8bit_0.png,0.85366027,0.916219076
015326_leftImg8bit_0.png,0.821261997,0.83782959
015598_leftImg8bit_0.png,0.792239081,0.835083008
015650_leftImg8bit_0.png,0.941451891,0.944030762
015773_leftImg8bit_0.png,0.989144683,0.989217122
015812_leftImg8bit_0.png,0.435123681,0.435974121
016309_leftImg8bit_0.png,0.9300492,0.930867513
016373_leftImg8bit_0.png,0.988735737,0.988993327
016649_leftImg8bit_0.png,0.715132589,0.781005859
016941_leftImg8bit_0.png,0.691033254,0.788289388
017012_leftImg8bit_0.png,0.963330192,0.963582357
017080_leftImg8bit_0.png,0.967040945,0.972290039
017099_leftImg8bit_0.png,0.876859287,0.923868815
017159_leftImg8bit_0.png,0.842559648,0.877563477
017329_leftImg8bit_0.png,0.893266728,0.907409668
017383_leftImg8bit_0.png,0.865330067,0.872497559
017425_leftImg8bit_0.png,0.797086935,0.810384115
017444_leftImg8bit_0.png,0.856055557,0.863789876
017990_leftImg8bit_0.png,0.841077255,0.85929362
018037_leftImg8bit_0.png,0.494628571,0.640136719
018275_leftImg8bit_0.png,0.604120556,0.657938639
018287_leftImg8bit_0.png,0.888704859,0.923441569
018547_leftImg8bit_0.png,0.95984342,0.962849935
018614_leftImg8bit_0.png,0.927510579,0.927510579
018763_leftImg8bit_0.png,0.750127841,0.751464844
018926_leftImg8bit_0.png,0.979697587,0.98055013
018989_leftImg8bit_0.png,0.599487305,0.599487305
019016_leftImg8bit_0.png,0.955692177,0.957478841
019119_leftImg8bit_0.png,0.964557844,0.966878255
019242_leftImg8bit_0.png,0.560348784,0.727132161
019666_leftImg8bit_0.png,0.394244189,0.487833659
019696_leftImg8bit_0.png,0.978359842,0.985107422
019793_leftImg8bit_0.png,0.843076649,0.892578125
020071_leftImg8bit_0.png,0.909109477,0.918518066
020123_leftImg8bit_0.png,0.870479672,0.880350749
020264_leftImg8bit_0.png,0.496632167,0.501302083
020357_leftImg8bit_0.png,0.920859103,0.928405762
020391_leftImg8bit_0.png,0.747550339,0.809204102
020541_leftImg8bit_0.png,0.958272298,0.958272298
020729_leftImg8bit_0.png,0.976058769,0.977986654
020764_leftImg8bit_0.png,0.720624249,0.744689941
020947_leftImg8bit_0.png,0.91000393,0.916137695
021155_leftImg8bit_0.png,0.791657214,0.850524902
021198_leftImg8bit_0.png,0.844631093,0.898763021
021376_leftImg8bit_0.png,0.9638088,0.967081706
021466_leftImg8bit_0.png,0.927214088,0.936177572
021603_leftImg8bit_0.png,0.898927242,0.943644206
021881_leftImg8bit_0.png,0.85070688,0.903320313
022077_leftImg8bit_0.png,0.92477331,0.937886556
022119_leftImg8bit_0.png,0.899844659,0.922607422
022166_leftImg8bit_0.png,0.988342285,0.988342285
022172_leftImg8bit_0.png,0.800549923,0.881937663
022209_leftImg8bit_0.png,0.9270973,0.943583171
022262_leftImg8bit_0.png,0.89749003,0.91998291
022553_leftImg8bit_0.png,0.982981025,0.983357747
022564_leftImg8bit_0.png,0.945038609,0.945841471
022683_leftImg8bit_0.png,0.585236529,0.735819499
022873_leftImg8bit_0.png,0.817486711,0.858194987
022984_leftImg8bit_0.png,0.728049685,0.798665365
023319_leftImg8bit_0.png,0.933445467,0.958943685
023487_leftImg8bit_0.png,0.863165972,0.865763346
023687_leftImg8bit_0.png,0.86533061,0.87121582
023764_leftImg8bit_0.png,0.907797507,0.914957682
024385_leftImg8bit_0.png,0.938492814,0.947062174
024436_leftImg8bit_0.png,0.870514021,0.881815592
024639_leftImg8bit_0.png,0.821889795,0.836975098
024684_leftImg8bit_0.png,0.720362741,0.766621908
024702_leftImg8bit_0.png,0.858167369,0.880900065
024723_leftImg8bit_0.png,0.947836009,0.947916667
024763_leftImg8bit_0.png,0.397094727,0.397094727
024901_leftImg8bit_0.png,0.846707119,0.88075765
025784_leftImg8bit_0.png,0.930659171,0.933247884
025798_leftImg8bit_0.png,0.656554467,0.722452799
025975_leftImg8bit_0.png,0.786219938,0.820597331
026034_leftImg8bit_0.png,0.899697418,0.936604818
026076_leftImg8bit_0.png,0.888500635,0.900024414
026223_leftImg8bit_0.png,0.980923994,0.981770833
026312_leftImg8bit_0.png,1,1
026320_leftImg8bit_0.png,0.592841118,0.593851725
026687_leftImg8bit_0.png,0.785149701,0.817504883
026811_leftImg8bit_0.png,0.869442934,0.887613932
026829_leftImg8bit_0.png,0.558120992,0.740681966
026894_leftImg8bit_0.png,1,1
027057_leftImg8bit_0.png,0.940307391,0.942871094
027089_leftImg8bit_0.png,0.913172622,0.91792806
027090_leftImg8bit_0.png,0.70522016,0.813537598
027135_leftImg8bit_0.png,0.87695635,0.892354329
027480_leftImg8bit_0.png,0.960511425,0.966634115
027588_leftImg8bit_0.png,0.893610159,0.946309408
028430_leftImg8bit_0.png,0.96394076,0.965820313
028608_leftImg8bit_0.png,1,1
029233_leftImg8bit_0.png,0.955070969,0.958333333
029585_leftImg8bit_0.png,0.855289935,0.879923503
031754_leftImg8bit_0.png,0.991662849,0.992594401
033782_leftImg8bit_0.png,0.929074303,0.939331055
034626_leftImg8bit_0.png,0.902229211,0.93548584
034965_leftImg8bit_0.png,0.596514825,0.725362142
035416_leftImg8bit_0.png,0.907486561,0.928222656
036371_leftImg8bit_0.png,0.997517904,0.997517904
040477_leftImg8bit_0.png,0.778503418,0.778503418
042063_leftImg8bit_0.png,0.296598208,0.503173828
042355_leftImg8bit_0.png,0.995646159,0.995646159
043554_leftImg8bit_0.png,0.887102463,0.889282227
045182_leftImg8bit_0.png,0.755996291,0.764465332
049801_leftImg8bit_0.png,0.951162461,0.971964518
054202_leftImg8bit_0.png,0.998657227,0.998657227
055387_leftImg8bit_0.png,0.703918457,0.703918457
057621_leftImg8bit_0.png,0.997395833,0.997395833
060156_leftImg8bit_0.png,0.976659926,0.977457682
060296_leftImg8bit_0.png,0.969329695,0.970499674
061195_leftImg8bit_0.png,0.747921402,0.821736654
063917_leftImg8bit_0.png,0.875988475,0.917683919
065571_leftImg8bit_0.png,0.977143814,0.977783203
068328_leftImg8bit_0.png,0.756462985,0.797607422
069314_leftImg8bit_0.png,0.924418605,0.972757975
070079_leftImg8bit_0.png,0.982716101,0.983317057
074255_leftImg8bit_0.png,0.99987793,0.99987793
074922_leftImg8bit_0.png,0.934742437,0.936055501
075880_leftImg8bit_0.png,0.923454572,0.925455729
076428_leftImg8bit_0.png,0.947184245,0.947184245
076552_leftImg8bit_0.png,0.987452582,0.987752279
077742_leftImg8bit_0.png,0.872635363,0.8846639
080681_leftImg8bit_0.png,0.743298169,0.771280924
081958_leftImg8bit_0.png,0.607923105,0.610778809
082786_leftImg8bit_0.png,1,1
083176_leftImg8bit_0.png,0.935175599,0.950317383
086367_leftImg8bit_0.png,0.468690166,0.655619303
087195_leftImg8bit_0.png,0.932150823,0.935017904
088065_leftImg8bit_0.png,0.974953808,0.975179036
088884_leftImg8bit_0.png,0.967876661,0.970581055
089913_leftImg8bit_0.png,0.761968156,0.818115234
091755_leftImg8bit_0.png,0.92450972,0.928263346
093575_leftImg8bit_0.png,0.783112547,0.797810872
094919_leftImg8bit_0.png,0.945088704,0.945088704
095050_leftImg8bit_0.png,0.999023438,0.999023438
097443_leftImg8bit_0.png,0.978312174,0.978312174
098006_leftImg8bit_0.png,0.980050183,0.980265299
100182_leftImg8bit_0.png,0.551865851,0.640604655
102250_leftImg8bit_0.png,0.804893527,0.887410482
102268_leftImg8bit_0.png,1,1
103523_leftImg8bit_0.png,0.887348354,0.957682292
103873_leftImg8bit_0.png,0.969782351,0.969889323
104884_leftImg8bit_0.png,0.952657773,0.953938802
106449_leftImg8bit_0.png,0.688639323,0.688639323
107463_leftImg8bit_0.png,0.971345461,0.973144531
107588_leftImg8bit_0.png,0.959828137,0.961385091
108585_leftImg8bit_0.png,0.979374763,0.981221517
109407_leftImg8bit_0.png,0.921582251,0.931111654
109852_leftImg8bit_0.png,0.92171224,0.92171224
110514_leftImg8bit_0.png,0.534996025,0.678710938
110963_leftImg8bit_0.png,0.338995867,0.466430664
111638_leftImg8bit_0.png,0.973699446,0.974121094
112226_leftImg8bit_0.png,0.311346323,0.617451986
114434_leftImg8bit_0.png,0.801031688,0.912109375
114702_leftImg8bit_0.png,0.987957811,0.98819987
115558_leftImg8bit_0.png,0.892143052,0.895629883
116904_leftImg8bit_0.png,0.914201572,0.933614095
120791_leftImg8bit_0.png,0.955086096,0.958129883
121656_leftImg8bit_0.png,0.871236769,0.872782389
121677_leftImg8bit_0.png,1,1
122363_leftImg8bit_0.png,0.818803201,0.826334635
122739_leftImg8bit_0.png,0.82325466,0.826009115
125671_leftImg8bit_0.png,0.538830248,0.631998698
127170_leftImg8bit_0.png,0.964558919,0.964558919
129236_leftImg8bit_0.png,0.968536645,0.971028646
130727_leftImg8bit_0.png,0.96887184,0.969787598
131082_leftImg8bit_0.png,0.985427824,0.985717773
134728_leftImg8bit_0.png,0.9969073,0.996907552
135596_leftImg8bit_0.png,0.914224402,0.914611816
135722_leftImg8bit_0.png,0.878105503,0.889099121
135775_leftImg8bit_0.png,0.694417318,0.694417318
135934_leftImg8bit_0.png,0.554499561,0.587056478
136105_leftImg8bit_0.png,0.977912846,0.978190104
136578_leftImg8bit_0.png,0.68041101,0.753845215
137651_leftImg8bit_0.png,0.743289209,0.745117188
138732_leftImg8bit_0.png,1,1
139843_leftImg8bit_0.png,0.951206059,0.95320638
141549_leftImg8bit_0.png,0.93189927,0.933207194
141768_leftImg8bit_0.png,0.644365074,0.773111979
143057_leftImg8bit_0.png,0.946555324,0.947916667
145969_leftImg8bit_0.png,0.541889219,0.623087565
146015_leftImg8bit_0.png,0.636769182,0.718383789
150238_leftImg8bit_0.png,0.816467003,0.857869466
151085_leftImg8bit_0.png,0.994480379,0.994791667
153272_leftImg8bit_0.png,0.515371468,0.532714844
158367_leftImg8bit_0.png,0.817877251,0.920369466
158968_leftImg8bit_0.png,1,1
162299_leftImg8bit_0.png,0.989480551,0.989501953
164204_leftImg8bit_0.png,0.98658457,0.986612956
164339_leftImg8bit_0.png,0.761346252,0.876220703
164950_leftImg8bit_0.png,0.886722244,0.935587565
165208_leftImg8bit_0.png,0.780958289,0.849141439
165227_leftImg8bit_0.png,0.963865767,0.969177246
169612_leftImg8bit_0.png,0.520304941,0.667154948
169800_leftImg8bit_0.png,0.925713544,0.930155436
171554_leftImg8bit_0.png,0.811286888,0.873799642
172635_leftImg8bit_0.png,0.912514496,0.912516276
172957_leftImg8bit_0.png,0.448038737,0.448038737
173563_leftImg8bit_0.png,0.506813308,0.709879557
173682_leftImg8bit_0.png,0.9604596,0.96303304
175274_leftImg8bit_0.png,0.779475512,0.81266276
179647_leftImg8bit_0.png,0.949643863,0.962890625
181672_leftImg8bit_0.png,0.940556206,0.941162109
183360_leftImg8bit_0.png,0.995055013,0.995117188
185890_leftImg8bit_0.png,0.92057089,0.926289876
189792_leftImg8bit_0.png,0.664777404,0.710001628
190331_leftImg8bit_0.png,0.885928447,0.892252604
190931_leftImg8bit_0.png,0.85189464,0.856547038
192504_leftImg8bit_0.png,0.570623306,0.677652995
192988_leftImg8bit_0.png,0.962888352,0.966267904
194890_leftImg8bit_0.png,0.994262695,0.994262695
195325_leftImg8bit_0.png,0.824102581,0.894226074
200483_leftImg8bit_0.png,0.978441399,0.978556315
205856_leftImg8bit_0.png,1,1
211987_leftImg8bit_0.png,0.921337425,0.940551758
213899_leftImg8bit_0.png,0.915122012,0.916992188
215065_leftImg8bit_0.png,0.70925994,0.823120117
215673_leftImg8bit_0.png,0.584206138,0.675313314
217657_leftImg8bit_0.png,0.97841256,0.987915039
218832_leftImg8bit_0.png,1,1
219146_leftImg8bit_0.png,0.986327841,0.986612956
221238_leftImg8bit_0.png,0.978085229,0.979085286
223047_leftImg8bit_0.png,0.944242776,0.9453125
223682_leftImg8bit_0.png,0.85819471,0.936523438
224838_leftImg8bit_0.png,1,1
225115_leftImg8bit_0.png,0.874256441,0.879150391
226494_leftImg8bit_0.png,0.988972454,0.990275065
227733_leftImg8bit_0.png,0.893784787,0.934773763
227903_leftImg8bit_0.png,0.992136304,0.9921875
230295_leftImg8bit_0.png,1,1
232545_leftImg8bit_0.png,0.996417376,0.996419271
234582_leftImg8bit_0.png,0.838030815,0.894775391
237699_leftImg8bit_0.png,0.95028784,0.951334635
240938_leftImg8bit_0.png,0.980694662,0.980957031
241715_leftImg8bit_0.png,0.619344814,0.700948079
242674_leftImg8bit_0.png,1,1
243564_leftImg8bit_0.png,1,1
243731_leftImg8bit_0.png,0.934855143,0.934855143
244679_leftImg8bit_0.png,0.990681966,0.990681966
245932_leftImg8bit_0.png,0.911173503,0.911173503
246056_leftImg8bit_0.png,0.800069173,0.800069173
246109_leftImg8bit_0.png,0.943584929,0.943766276
247608_leftImg8bit_0.png,0.846168997,0.936442057
248703_leftImg8bit_0.png,0.992134693,0.9921875
248910_leftImg8bit_0.png,0.961066564,0.967203776
249896_leftImg8bit_0.png,0.911330701,0.918212891
253731_leftImg8bit_0.png,0.907816349,0.916259766
254038_leftImg8bit_0.png,0.805582682,0.805582682
256387_leftImg8bit_0.png,0.951888049,0.961039225
257193_leftImg8bit_0.png,0.740035511,0.740844727
259881_leftImg8bit_0.png,0.784859035,0.793823242
261261_leftImg8bit_0.png,0.757606585,0.893351237
261348_leftImg8bit_0.png,1,1
263316_leftImg8bit_0.png,0.947392394,0.95300293
263384_leftImg8bit_0.png,0.992546128,0.992553711
264247_leftImg8bit_0.png,0.940017103,0.940063477
264440_leftImg8bit_0.png,0.90674081,0.955301921
265876_leftImg8bit_0.png,0.920584932,0.926635742
267119_leftImg8bit_0.png,0.472173864,0.617553711
267876_leftImg8bit_0.png,0.901182452,0.911417643
268519_leftImg8bit_0.png,0.965307427,0.965779622
269357_leftImg8bit_0.png,0.343343322,0.362487793
274090_leftImg8bit_0.png,0.992538839,0.992574056
278236_leftImg8bit_0.png,0.930728627,0.94152832
278763_leftImg8bit_0.png,0.909653264,0.909667969
279773_leftImg8bit_0.png,0.99499877,0.995035807
286197_leftImg8bit_0.png,0.957008125,0.95715332
291212_leftImg8bit_0.png,0.809032596,0.85160319
292033_leftImg8bit_0.png,0.994995117,0.994995117
296571_leftImg8bit_0.png,0.975296149,0.991556803
303594_leftImg8bit_0.png,0.945287169,0.950907389
303691_leftImg8bit_0.png,0.743278214,0.76184082
304409_leftImg8bit_0.png,0.334886763,0.337972005
312515_leftImg8bit_0.png,0.606429698,0.66998291
316862_leftImg8bit_0.png,0.877909248,0.891886393
